CVDs,RSP,NO2,SO2,O3
214.0,73.67,74.48,19.13,17.35
203.0,77.58,80.87,18.76,39.43
202.0,64.81,67.09,13.83,56.35
182.0,68.85,74.73,30.79,5.6
181.0,49.45,62.29,23.07,3.6
129.0,67.35,63.64,17.44,6.73
104.0,30.31,44.4,8.11,9.6
197.0,156.55,48.56,8.53,24.85
157.0,47.33,51.0,9.05,7.79
188.0,42.33,62.71,14.49,13.31
185.0,51.57,62.81,17.07,13.52
161.0,34.32,45.19,20.67,2.1
144.0,19.78,34.79,10.39,3.54
111.0,42.75,41.31,9.5,12.98
176.0,54.72,61.32,12.72,25.29
169.0,76.99,101.33,43.17,9.17
167.0,79.72,102.31,60.3,5.67
169.0,64.12,81.01,44.71,5.43
159.0,69.21,69.9,45.84,0.29
101.0,47.81,49.23,26.0,9.04
114.0,82.77,46.79,8.11,51.42
180.0,47.65,60.4,12.08,32.92
161.0,59.8,58.73,12.01,49.25
177.0,102.18,87.7,47.74,2.4
151.0,60.67,63.49,32.35,1.67
142.0,23.04,56.02,11.07,27.6
109.0,22.67,52.4,6.31,31.1
116.0,23.74,49.81,5.98,24.67
177.0,25.86,47.33,6.39,38.67
142.0,46.32,52.94,8.61,30.9
130.0,42.86,53.38,8.3,34.04
164.0,109.98,86.42,45.98,0.79
152.0,46.01,58.08,17.49,4.23
127.0,52.54,66.16,11.84,21.73
110.0,57.96,66.04,26.6,13.54
202.0,83.68,74.31,32.62,17.48
188.0,79.38,79.66,40.89,5.23
202.0,66.59,63.54,21.49,51.85
150.0,65.71,56.46,11.81,28.17
106.0,44.94,45.69,45.06,1.92
108.0,39.87,37.66,49.8,4.23
112.0,29.55,32.28,36.68,11.67
125.0,30.21,32.4,15.0,12.85
176.0,33.66,43.16,28.89,7.31
177.0,45.08,51.34,28.86,0.0
147.0,54.25,47.9,7.05,60.67
162.0,47.14,48.67,9.0,16.85
93.0,34.13,42.54,32.93,15.67
119.0,34.1,44.37,30.18,21.48
